"[0.0964, 0.1402, 0.2217, 0.311, 0.2797, 0.4095, 0.3934, 0.4272, 0.4155, 0.4509, 0.506, 0.5275, 0.5684, 0.5451, 0.6163]",0.5766,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.1, 0.2321, 0.2765, 0.4747, 0.5338, 0.5352, 0.5861, 0.617, 0.6305, 0.6757, 0.7195, 0.7197, 0.7397, 0.7581, 0.7729]",0.7569,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,43
"[0.1848, 0.2372, 0.3741, 0.5572, 0.6612, 0.6177, 0.6933, 0.7179, 0.76, 0.7803, 0.8034, 0.8104, 0.8199, 0.8241, 0.8389]",0.8276,BoundedPareto-0-Ours,0.001,9.74,1.0,299,43
"[0.0964, 0.1402, 0.2217, 0.311, 0.2797, 0.4095, 0.3934, 0.4272, 0.4155, 0.4509, 0.506, 0.5275, 0.5684, 0.5451, 0.6163]",0.5766,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.1032, 0.2485, 0.3661, 0.3884, 0.4745, 0.5193, 0.5292, 0.6324, 0.6704, 0.6679, 0.6726, 0.7239, 0.7291, 0.7477, 0.7773]",0.7514,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,43
"[0.1331, 0.1652, 0.426, 0.5843, 0.6334, 0.6808, 0.7216, 0.7652, 0.7766, 0.804, 0.8195, 0.8307, 0.8437, 0.8493, 0.8552]",0.8494,BoundedMixGauss-0-Ours,0.001,9.74,1.0,471,43
"[0.0964, 0.1402, 0.2217, 0.311, 0.2797, 0.4095, 0.3934, 0.4272, 0.4155, 0.4509, 0.506, 0.5275, 0.5684, 0.5451, 0.6163]",0.5766,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.0996, 0.2241, 0.2298, 0.4288, 0.559, 0.5455, 0.5813, 0.6372, 0.6244, 0.6734, 0.7101, 0.7168, 0.7372, 0.7587, 0.7677]",0.7545,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,185,43
"[0.1694, 0.2569, 0.4153, 0.576, 0.601, 0.7003, 0.748, 0.778, 0.7913, 0.811, 0.824, 0.8353, 0.844, 0.8475, 0.8577]",0.8497,ThreeLevels-0-Ours,0.001,9.74,1.0,435,44
"[0.181, 0.0929, 0.1377, 0.2674, 0.2882, 0.4056, 0.4737, 0.4474, 0.5234, 0.5287, 0.6048, 0.6124, 0.6268, 0.602, 0.6721]",0.6336,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.1617, 0.2847, 0.2845, 0.3223, 0.4289, 0.5627, 0.6156, 0.6496, 0.6926, 0.7119, 0.7644, 0.7762, 0.8054, 0.8106, 0.8291]",0.815,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,44
"[0.1286, 0.3407, 0.4032, 0.4598, 0.588, 0.6214, 0.6655, 0.7139, 0.769, 0.7696, 0.8196, 0.823, 0.8304, 0.8514, 0.8521]",0.8446,BoundedPareto-0-Ours,0.001,9.74,1.0,295,44
"[0.181, 0.0929, 0.1377, 0.2674, 0.2882, 0.4056, 0.4737, 0.4474, 0.5234, 0.5287, 0.6048, 0.6124, 0.6268, 0.602, 0.6721]",0.6336,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,44
